date	close
14-Jul-2008	173.88
11-Jul-2008	172.58
10-Jul-2008	176.63
9-Jul-2008	174.25
8-Jul-2008	179.55
7-Jul-2008	175.16
3-Jul-2008	170.12
2-Jul-2008	168.18
1-Jul-2008	174.68
30-Jun-2008	167.44
27-Jun-2008	170.09
26-Jun-2008	168.26
25-Jun-2008	177.39
24-Jun-2008	173.25
23-Jun-2008	173.16
20-Jun-2008	175.27
19-Jun-2008	180.90
18-Jun-2008	178.75
17-Jun-2008	181.43
16-Jun-2008	176.84
13-Jun-2008	172.37
12-Jun-2008	173.26
11-Jun-2008	180.81
10-Jun-2008	185.64
9-Jun-2008	181.61
6-Jun-2008	185.64
5-Jun-2008	189.43
4-Jun-2008	185.19
3-Jun-2008	185.37
2-Jun-2008	186.10
30-May-2008	188.75
29-May-2008	186.69
28-May-2008	187.01
27-May-2008	186.43
23-May-2008	181.17
22-May-2008	177.05
21-May-2008	178.19
20-May-2008	185.90
19-May-2008	183.60
16-May-2008	187.62
15-May-2008	189.73
14-May-2008	186.26
13-May-2008	189.96
12-May-2008	188.16
9-May-2008	183.45
8-May-2008	185.06
7-May-2008	182.59
6-May-2008	186.66
5-May-2008	184.73
2-May-2008	180.94
1-May-2008	180.00
30-Apr-2008	173.95
29-Apr-2008	175.05
28-Apr-2008	172.24
25-Apr-2008	169.73
24-Apr-2008	168.94
23-Apr-2008	162.89
22-Apr-2008	160.20
21-Apr-2008	168.16
18-Apr-2008	161.04
17-Apr-2008	154.49
16-Apr-2008	153.70
15-Apr-2008	148.38
14-Apr-2008	147.78
11-Apr-2008	147.14
10-Apr-2008	154.55
9-Apr-2008	151.44
8-Apr-2008	152.84
7-Apr-2008	155.89
4-Apr-2008	153.08
3-Apr-2008	151.61
2-Apr-2008	147.49
1-Apr-2008	149.53
31-Mar-2008	143.50
28-Mar-2008	143.01
27-Mar-2008	140.25
26-Mar-2008	145.06
25-Mar-2008	140.98
24-Mar-2008	139.53
20-Mar-2008	133.27
19-Mar-2008	129.67
18-Mar-2008	132.82
17-Mar-2008	126.73
14-Mar-2008	126.61
13-Mar-2008	127.94
12-Mar-2008	126.03
11-Mar-2008	127.35
10-Mar-2008	119.69
7-Mar-2008	122.25
6-Mar-2008	120.93
5-Mar-2008	124.49
4-Mar-2008	124.62
3-Mar-2008	121.73
29-Feb-2008	125.02
28-Feb-2008	129.91
27-Feb-2008	122.96
26-Feb-2008	119.15
25-Feb-2008	119.74
22-Feb-2008	119.46
21-Feb-2008	121.54
20-Feb-2008	123.82
19-Feb-2008	122.18
15-Feb-2008	124.63
14-Feb-2008	127.46
13-Feb-2008	129.40
12-Feb-2008	124.86
11-Feb-2008	129.45
